,Open,High,Low,Close,Volume
2025-11-18,3100.0,3102.0,3080.0,3085.6499,104079
2025-11-19,3103.95,3156.0,3084.05,3147.2,122096
2025-11-20,3150.0,3163.5,3137.1499,3145.75,361891
2025-11-21,3145.75,3170.0,3136.0,3150.05,242380
2025-11-24,3145.45,3179.0,3131.3999,3140.55,112076
2025-11-25,3140.75,3146.95,3115.45,3119.8,105596
2025-11-26,3119.8,3177.0,3117.95,3162.25,165644
2025-11-27,3174.1499,3178.8501,3125.0,3136.8999,401820
2025-11-28,3136.5,3146.95,3125.0,3139.6499,63941
2025-12-01,3135.0,3152.5,3122.7,3135.7,204505
2025-12-02,3125.2,3143.7,3121.05,3135.6001,69073
2025-12-03,3150.0,3212.0,3136.0,3179.95,217359
2025-12-04,3181.25,3249.95,3181.25,3228.8999,532289
2025-12-05,3239.5,3270.7,3223.25,3238.8999,350070
2025-12-08,3238.0,3259.8,3210.0,3237.8999,219632
2025-12-09,3226.25,3236.2,3180.8,3208.25,171236
2025-12-10,3208.25,3216.5,3178.7,3188.1499,174012
2025-12-11,3206.0,3207.75,3153.75,3191.6001,397514
2025-12-12,3198.7,3223.95,3184.95,3220.1499,113769
2025-12-15,3220.1001,3237.0,3196.3,3230.3999,53689
2025-12-16,3221.0,3221.05,3191.0,3204.55,60794
2025-12-17,3204.55,3236.1001,3201.05,3217.6001,37162
2025-12-18,3234.7,3288.7,3224.05,3280.1001,309024
2025-12-19,3300.0,3317.8999,3277.2,3282.6001,65524
2025-12-22,3300.1001,3328.2,3290.3999,3324.6499,142041
2025-12-23,3324.3999,3324.3999,3294.2,3310.5,97640
2025-12-24,3308.8,3326.0,3295.3999,3320.3501,156179
2025-12-25,3320.3501,3320.3501,3320.3501,3320.3501,0
2025-12-26,3312.0,3319.0,3274.0,3279.8,94124
2025-12-29,3279.8,3286.0,3243.5,3253.6499,74178
2025-12-30,3240.1001,3266.0,3239.5,3247.5,58391
2025-12-31,3246.0,3246.0,3199.1001,3205.75,126727
2026-01-01,3206.05,3234.25,3198.75,3226.8,220572
2026-01-02,3243.3999,3253.3999,3220.0,3250.1001,63797
2026-01-05,3249.8501,3249.8501,3191.8501,3214.7,126704
2026-01-06,3211.1001,3259.0,3206.3999,3255.75,24666
2026-01-07,3247.2,3300.0,3230.5,3294.45,119941
2026-01-08,3294.45,3294.45,3181.6001,3204.3,446517
2026-01-09,3185.05,3229.3,3185.05,3208.0,161257
2026-01-12,3201.0,3250.0,3174.1001,3235.7,180366
2026-01-13,3265.0,3279.0,3210.3,3267.6001,266941
2026-01-14,3264.95,3264.95,3183.05,3192.3,428686
2026-01-15,3192.3,3192.3,3192.3,3192.3,0
2026-01-16,3215.05,3221.0,3172.2,3206.7,129233
2026-01-19,3185.55,3219.8999,3151.7,3163.0,197502
2026-01-20,3152.0,3160.8999,3094.05,3108.05,588857
2026-01-21,3091.2,3137.25,3082.0,3121.3,183440
2026-01-22,3140.1001,3159.0,3121.55,3151.25,150626
2026-01-23,3152.1001,3193.75,3152.0,3160.8501,95171
