,Open,High,Low,Close,Volume
2026-01-02,4038.25,4059.1499,3985.8999,4050.6499,19477
2026-01-05,4050.6499,4094.8999,4047.6001,4079.1499,73516
2026-01-06,4088.6499,4118.0,4071.25,4111.1001,10089
2026-01-07,4200.4502,4312.0,4200.4502,4272.8999,277511
2026-01-08,4285.8999,4304.8999,4240.0,4247.2002,25824
2026-01-09,4206.75,4279.5498,4183.3999,4203.0,22382
2026-01-12,4187.8,4241.45,4143.6,4231.45,23652
2026-01-13,4248.75,4265.0,4211.05,4234.9,29737
2026-01-14,4232.6,4281.9,4208.95,4221.0,79317
2026-01-16,4236.9,4236.9,4183.0,4196.9,11508
2026-01-19,4180.45,4208.05,4128.6,4141.95,19666
2026-01-20,4142.55,4154.1,4062.65,4072.85,7733
2026-01-21,4059.4,4110.0,4053.3,4080.2,10429
2026-01-22,4082.15,4126.95,3980.45,4018.8,18089
2026-01-23,4051.85,4060.0,3979.7,4021.8,41382
