,Open,High,Low,Close,Volume
2025-10-17,1967.45,2033.55,1967.45,2011.95,161616
2025-10-20,2022.2,2057.0,2020.0,2051.25,61612
2025-10-21,2047.35,2057.95,2038.5,2043.35,25089
2025-10-23,2069.25,2069.25,2003.25,2008.35,871617
2025-10-24,2005.4,2033.0,2005.4,2029.1,56173
2025-10-27,2038.7,2093.8501,2032.0,2081.05,1418303
2025-10-28,2084.1001,2103.3999,2072.0,2090.5,159740
2025-10-29,2086.95,2109.8999,2081.1499,2100.45,155441
2025-10-30,2068.05,2087.5,2058.9,2066.1,242538
2025-10-31,2065.5,2073.65,2051.65,2054.6,41588
2025-11-03,2056.6,2080.4,2046.55,2073.75,93968
2025-11-04,2100.0,2135.75,2100.0,2112.9,297334
2025-11-06,2114.5,2122.8,2080.5,2094.6,733095
2025-11-07,2048.6,2049.5,1995.8,2001.1,1858254
2025-11-10,1995.0,2027.45,1994.0,2021.15,67953
2025-11-11,2029.4,2056.2,2019.15,2042.55,1042136
2025-11-12,2050.05,2078.55,2050.05,2073.5,180105
2025-11-13,2090.1001,2107.0,2078.55,2092.1499,482662
2025-11-14,2088.7,2107.6001,2081.0,2098.7,53860
2025-11-17,2110.0,2122.0,2102.0,2112.2,47762
2025-11-18,2122.0,2159.0,2110.05,2149.8999,134764
2025-11-19,2151.1499,2165.8999,2146.5,2161.3,175355
2025-11-20,2155.0,2169.0,2149.3999,2159.45,424508
2025-11-21,2149.0,2174.7,2148.3501,2162.8501,50952
2025-11-24,2161.05,2166.0,2139.25,2150.8501,86878
2025-11-25,2161.0,2170.95,2139.0,2160.75,206512
2025-11-26,2105.0,2134.0,2100.0,2127.1001,658627
2025-11-27,2130.0,2134.3501,2103.5,2115.95,444496
2025-11-28,2117.8,2129.05,2096.25,2101.05,61011
2025-12-01,2113.8999,2119.3501,2083.0,2089.6001,46165
2025-12-02,2083.0,2114.5,2083.0,2101.8501,70868
2025-12-03,2099.8999,2110.3501,2082.0,2086.1001,81413
2025-12-04,2088.75,2108.75,2074.7,2103.5,435861
2025-12-05,2091.8,2111.6499,2091.25,2107.7,46562
2025-12-08,2115.0,2115.0,2078.8,2085.95,65933
2025-12-09,2085.0,2100.8,2080.75,2087.6001,37634
2025-12-10,2066.0,2096.5,2062.8,2066.7,134401
2025-12-11,2061.2,2068.45,2038.0,2053.25,419443
2025-12-12,2053.1499,2086.0,2052.55,2083.3501,35898
2025-12-15,2077.1001,2079.0,2062.0,2071.95,19857
2025-12-16,2071.95,2106.0,2071.95,2101.8,84204
2025-12-17,2120.5,2126.0,2096.5,2108.6499,80986
2025-12-18,2108.8,2116.0,2087.45,2092.05,650018
2025-12-19,2104.3999,2116.7,2082.5,2096.3,226045
2025-12-22,2116.05,2151.5,2102.3999,2147.1499,95549
2025-12-23,2164.8999,2164.8999,2119.3,2122.3999,40842
2025-12-24,2131.8999,2137.45,2115.0,2123.75,137894
2025-12-26,2124.0,2124.0,2101.8,2105.7,25826
2025-12-29,2103.1001,2111.0,2079.0,2081.6499,92228
2025-12-30,2077.55,2102.05,2074.05,2099.8501,40548
2025-12-31,2092.6499,2120.7,2089.8501,2105.7,76864
2026-01-01,2107.75,2123.8999,2106.3501,2110.1001,228962
2026-01-02,2110.1001,2124.5,2098.3501,2106.7,33758
2026-01-05,2106.25,2111.95,2096.3,2104.5,58550
2026-01-06,2113.25,2121.0,2088.0,2105.95,20738
2026-01-07,2090.3,2104.1001,2077.0,2084.05,69052
2026-01-08,2081.6499,2092.0,2055.25,2066.3,259290
2026-01-09,2067.05,2084.1499,2023.3,2027.3,132978
2026-01-12,2002.2,2048.7,2001.0,2043.65,206841
2026-01-13,2040.05,2049.95,2015.0,2026.5,209335
2026-01-14,2011.45,2033.6,2008.35,2023.0,284491
2026-01-16,2019.45,2025.0,1989.8,2016.0,302780
2026-01-19,2017.0,2020.5,1997.5,2008.55,110089
2026-01-20,2010.85,2015.85,1977.25,1989.35,132503
2026-01-21,1968.0,2006.5,1967.95,1995.9,310504
2026-01-22,2014.75,2019.45,1989.65,2002.05,694401
2026-01-23,2019.0,2019.0,1980.4,1985.25,711974
